step,msd_global,n_round,n_elongated,density
23000,198811.02191059873,0.046875,499.953125,0.01
23100,199964.2513555664,0.03125,499.96875,0.01
23200,201214.13510444324,0.015625,499.984375,0.01
23300,202250.55072739648,0.03125,499.96875,0.01
23400,203343.63712624402,0.015625,499.984375,0.01
23500,204417.20368879687,0.03125,499.96875,0.01
23600,205613.49334569063,0.046875,499.953125,0.01
23700,206608.00677102257,0.0625,499.9375,0.01
23800,207515.18524693712,0.078125,499.921875,0.01
23900,208693.481130388,0.015625,499.984375,0.01
24000,209965.36149236257,0.0,500.0,0.01
24100,211193.29854309605,0.078125,499.921875,0.01
24200,212444.27069283702,0.015625,499.984375,0.01
24300,213456.9754157485,0.015625,499.984375,0.01
24400,214597.73404737297,0.015625,499.984375,0.01
24500,215721.1124051417,0.046875,499.953125,0.01
24600,216820.61708273238,0.0,500.0,0.01
24700,218062.66353764397,0.03125,499.96875,0.01
24800,219231.27869051238,0.0,500.0,0.01
24900,220567.00866947733,0.015625,499.984375,0.01
25000,221670.57460854147,0.0,500.0,0.01
25100,222966.6627067815,0.015625,499.984375,0.01
25200,224269.91384836403,0.015625,499.984375,0.01
25300,225521.5976366099,0.0,500.0,0.01
25400,226704.86612276206,0.015625,499.984375,0.01
25500,227730.06655212617,0.078125,499.921875,0.01
25600,228738.5810341326,0.015625,499.984375,0.01
25700,229806.5244168417,0.0,500.0,0.01
25800,230922.83217214208,0.03125,499.96875,0.01
25900,232024.13592604105,0.03125,499.96875,0.01
26000,233227.24286293934,0.0,500.0,0.01
26100,234496.92400149233,0.03125,499.96875,0.01
26200,235597.67322762808,0.015625,499.984375,0.01
26300,236783.62644772185,0.046875,499.953125,0.01
26400,237927.0596191792,0.0,500.0,0.01
26500,239071.51150543214,0.046875,499.953125,0.01
26600,240094.7401513421,0.0,500.0,0.01
26700,241205.82802749996,0.0,500.0,0.01
26800,242331.72046880765,0.0,500.0,0.01
26900,243301.11213929707,0.015625,499.984375,0.01
27000,244636.76306614003,0.015625,499.984375,0.01
27100,245739.98359037915,0.0,500.0,0.01
27200,246871.5618352804,0.015625,499.984375,0.01
27300,248109.2786382132,0.015625,499.984375,0.01
27400,249331.80472556318,0.015625,499.984375,0.01
27500,250361.67438526332,0.015625,499.984375,0.01
27600,251339.67028463725,0.03125,499.96875,0.01
27700,252431.78233894677,0.03125,499.96875,0.01
27800,253412.10651021838,0.03125,499.96875,0.01
27900,254533.25658674125,0.03125,499.96875,0.01
28000,255664.72612236085,0.03125,499.96875,0.01
28100,256723.13333324858,0.046875,499.953125,0.01
28200,257916.69823123974,0.03125,499.96875,0.01
28300,259193.0084934407,0.078125,499.921875,0.01
28400,260364.65285785336,0.0625,499.9375,0.01
28500,261435.16643001634,0.0625,499.9375,0.01
28600,262657.89595417463,0.0625,499.9375,0.01
28700,263771.79705327144,0.015625,499.984375,0.01
28800,264930.7674103476,0.046875,499.953125,0.01
28900,266071.9022387303,0.015625,499.984375,0.01
29000,267193.2885715625,0.015625,499.984375,0.01
29100,268352.8685969777,0.015625,499.984375,0.01
29200,269456.35121372505,0.0625,499.9375,0.01
29300,270573.98734313203,0.046875,499.953125,0.01
29400,271523.26071552857,0.046875,499.953125,0.01
29500,272838.06664465484,0.078125,499.921875,0.01
29600,274041.3014690758,0.046875,499.953125,0.01
29700,275239.51695843367,0.015625,499.984375,0.01
29800,276196.2824927049,0.046875,499.953125,0.01
29900,277465.0244073524,0.0,500.0,0.01
30000,278412.7175017043,0.015625,499.984375,0.01
30100,279563.986803011,0.03125,499.96875,0.01
30200,280712.453721976,0.0625,499.9375,0.01
30300,281791.5258808397,0.015625,499.984375,0.01
30400,282946.0948838625,0.0,500.0,0.01
30500,284089.6007737565,0.03125,499.96875,0.01
30600,285391.83805011556,0.046875,499.953125,0.01
30700,286624.0175105878,0.015625,499.984375,0.01
30800,287673.1749347997,0.046875,499.953125,0.01
30900,288705.6972677165,0.03125,499.96875,0.01
31000,289622.707757149,0.0,500.0,0.01
31100,290988.35810575465,0.0,500.0,0.01
31200,292123.2523494276,0.0625,499.9375,0.01
31300,293301.05611470994,0.015625,499.984375,0.01
31400,294506.74126708094,0.015625,499.984375,0.01
31500,295458.50913657306,0.046875,499.953125,0.01
31600,296602.4734162001,0.046875,499.953125,0.01
31700,297757.51415474346,0.015625,499.984375,0.01
31800,298841.3324354805,0.015625,499.984375,0.01
31900,299976.75980778696,0.03125,499.96875,0.01
32000,301173.75615122414,0.03125,499.96875,0.01
32100,302378.54210391105,0.015625,499.984375,0.01
32200,303648.1527917628,0.03125,499.96875,0.01
32300,304848.3071269401,0.03125,499.96875,0.01
32400,305900.4299147068,0.03125,499.96875,0.01
32500,307257.26852361875,0.015625,499.984375,0.01
32600,308266.7942779235,0.015625,499.984375,0.01
32700,309365.58204015746,0.015625,499.984375,0.01
32800,310471.28412800364,0.046875,499.953125,0.01
32900,311673.6634376963,0.0625,499.9375,0.01
33000,312785.59875883017,0.0625,499.9375,0.01
33100,313936.92972245533,0.03125,499.96875,0.01
33200,315261.96791323903,0.0,500.0,0.01
33300,316444.2391040712,0.03125,499.96875,0.01
33400,317718.44774247124,0.03125,499.96875,0.01
33500,318767.97555348754,0.03125,499.96875,0.01
33600,319908.9932459306,0.015625,499.984375,0.01
33700,321026.6310598013,0.015625,499.984375,0.01
33800,322076.3436049183,0.03125,499.96875,0.01
33900,323202.77151704126,0.03125,499.96875,0.01
34000,324504.02806936536,0.015625,499.984375,0.01
34100,325714.363065166,0.015625,499.984375,0.01
34200,326953.8998418601,0.015625,499.984375,0.01
34300,328178.5948095006,0.0,500.0,0.01
34400,329347.68766331044,0.0,500.0,0.01
34500,330625.1699253805,0.0,500.0,0.01
34600,331758.26430594944,0.046875,499.953125,0.01
34700,333029.207663446,0.015625,499.984375,0.01
34800,334132.18312265753,0.03125,499.96875,0.01
34900,335231.2362482487,0.015625,499.984375,0.01
35000,336288.6130450637,0.015625,499.984375,0.01
35100,337412.8640309617,0.046875,499.953125,0.01
35200,338614.5970024879,0.0,500.0,0.01
35300,339691.2345488764,0.0625,499.9375,0.01
35400,340715.3243569027,0.03125,499.96875,0.01
35500,341880.0387352684,0.0,500.0,0.01
35600,342847.6425823167,0.046875,499.953125,0.01
35700,343959.51243739174,0.03125,499.96875,0.01
35800,345246.6902343439,0.0,500.0,0.01
35900,346316.2742290315,0.0,500.0,0.01
36000,347308.46571203513,0.0,500.0,0.01
36100,348623.8014044993,0.03125,499.96875,0.01
36200,349851.3577435038,0.015625,499.984375,0.01
36300,350878.5307377918,0.03125,499.96875,0.01
36400,352147.3981248074,0.03125,499.96875,0.01
36500,353482.54139145295,0.03125,499.96875,0.01
36600,354628.3224647799,0.03125,499.96875,0.01
36700,355776.32819388603,0.0625,499.9375,0.01
36800,356893.04337028554,0.015625,499.984375,0.01
36900,357782.5222525027,0.015625,499.984375,0.01
37000,358908.4726983588,0.03125,499.96875,0.01
37100,359977.00537240156,0.015625,499.984375,0.01
37200,360832.12117737636,0.0,500.0,0.01
37300,362090.67527230916,0.015625,499.984375,0.01
37400,363120.64314275293,0.015625,499.984375,0.01
37500,364197.7532779246,0.015625,499.984375,0.01
37600,365263.41179620643,0.015625,499.984375,0.01
37700,366430.955808131,0.046875,499.953125,0.01
37800,367576.273675235,0.0625,499.9375,0.01
37900,368762.2570021908,0.03125,499.96875,0.01
38000,369832.49186698033,0.015625,499.984375,0.01
38100,371135.2805457145,0.015625,499.984375,0.01
38200,372153.53216097,0.046875,499.953125,0.01
38300,373186.79225018085,0.015625,499.984375,0.01
38400,374548.05299929733,0.0,500.0,0.01
38500,375703.2309568699,0.046875,499.953125,0.01
38600,376744.9539171203,0.015625,499.984375,0.01
38700,378023.7198157206,0.046875,499.953125,0.01
38800,379157.4979745544,0.03125,499.96875,0.01
38900,380236.7602725588,0.03125,499.96875,0.01
39000,381311.55867982557,0.03125,499.96875,0.01
39100,382710.46172947163,0.015625,499.984375,0.01
39200,384003.8239813435,0.03125,499.96875,0.01
39300,385335.95152028406,0.046875,499.953125,0.01
39400,386459.3240273176,0.0,500.0,0.01
39500,387634.6980159922,0.015625,499.984375,0.01
39600,388806.9739444667,0.046875,499.953125,0.01
39700,389905.35130428034,0.0,500.0,0.01
39800,391063.8177101658,0.046875,499.953125,0.01
39900,392247.4037576459,0.03125,499.96875,0.01
40000,393446.8551884217,0.03125,499.96875,0.01
40100,394619.8608797791,0.09375,499.90625,0.01
40200,395674.90480134415,0.046875,499.953125,0.01
40300,396983.89133884234,0.0625,499.9375,0.01
40400,397821.302514201,0.046875,499.953125,0.01
40500,399059.01185775077,0.0625,499.9375,0.01
40600,400262.51019544736,0.09375,499.90625,0.01
40700,401405.354278916,0.046875,499.953125,0.01
40800,402575.6473031535,0.046875,499.953125,0.01
40900,403749.1587332405,0.03125,499.96875,0.01
41000,405108.84426787705,0.0,500.0,0.01
41100,406223.59469860746,0.0,500.0,0.01
41200,407241.0057761068,0.0,500.0,0.01
41300,408297.1915384485,0.03125,499.96875,0.01
41400,409285.4141473726,0.03125,499.96875,0.01
41500,410397.26477750123,0.015625,499.984375,0.01
41600,411509.68135510467,0.03125,499.96875,0.01
41700,412678.6538344493,0.0,500.0,0.01
41800,414029.56849290064,0.0,500.0,0.01
41900,415100.7244889534,0.03125,499.96875,0.01
42000,416276.06283465994,0.03125,499.96875,0.01
42100,417286.7822899387,0.046875,499.953125,0.01
42200,418401.76002036803,0.015625,499.984375,0.01
42300,419531.2820685358,0.03125,499.96875,0.01
42400,420638.21376628673,0.015625,499.984375,0.01
42500,421739.3211842357,0.0,500.0,0.01
42600,422866.7394581071,0.046875,499.953125,0.01
42700,424075.75849587785,0.015625,499.984375,0.01
42800,425224.28611383366,0.03125,499.96875,0.01
42900,426313.73840300663,0.03125,499.96875,0.01
43000,427356.47747936787,0.03125,499.96875,0.01
43100,428379.5614221813,0.03125,499.96875,0.01
43200,429493.3211423815,0.046875,499.953125,0.01
43300,430552.5951865814,0.015625,499.984375,0.01
43400,431702.7762251731,0.03125,499.96875,0.01
43500,432894.5950852095,0.015625,499.984375,0.01
43600,434017.62947718316,0.0,500.0,0.01
43700,435134.3034492749,0.015625,499.984375,0.01
43800,436260.2676717035,0.0,500.0,0.01
43900,437333.65227699396,0.015625,499.984375,0.01
44000,438387.58532740106,0.03125,499.96875,0.01
44100,439408.43243278144,0.0,500.0,0.01
44200,440412.1274651689,0.03125,499.96875,0.01
44300,441405.39473466773,0.0,500.0,0.01
44400,442591.5447011517,0.03125,499.96875,0.01
44500,443591.7236225514,0.015625,499.984375,0.01
44600,444842.2873742014,0.015625,499.984375,0.01
44700,445813.7053219819,0.03125,499.96875,0.01
44800,446943.5976291914,0.015625,499.984375,0.01
44900,448078.727705335,0.078125,499.921875,0.01
45000,449157.5342890296,0.015625,499.984375,0.01
45100,450397.47665415244,0.015625,499.984375,0.01
45200,451380.3040127827,0.0625,499.9375,0.01
45300,452398.89307125326,0.078125,499.921875,0.01
45400,453417.6435931268,0.03125,499.96875,0.01
45500,454337.8573609036,0.015625,499.984375,0.01
45600,455342.99028006813,0.015625,499.984375,0.01
45700,456626.1833238179,0.0,500.0,0.01
45800,457623.9918290818,0.015625,499.984375,0.01
45900,458718.5435770151,0.015625,499.984375,0.01
46000,459963.11142395163,0.0625,499.9375,0.01
46100,460915.981146331,0.0,500.0,0.01
46200,462341.5108147821,0.03125,499.96875,0.01
46300,463422.28598384646,0.015625,499.984375,0.01
46400,464477.104105916,0.0625,499.9375,0.01
46500,465834.108715742,0.0,500.0,0.01
46600,467101.3449604049,0.078125,499.921875,0.01
46700,468172.46893035213,0.015625,499.984375,0.01
46800,469285.8517489182,0.0,500.0,0.01
46900,470643.9123759735,0.015625,499.984375,0.01
47000,471833.54883943574,0.03125,499.96875,0.01
47100,473118.5497672972,0.03125,499.96875,0.01
47200,474471.60410804284,0.03125,499.96875,0.01
47300,475465.03887622134,0.015625,499.984375,0.01
47400,476649.79219920665,0.03125,499.96875,0.01
47500,477855.44894840324,0.03125,499.96875,0.01
47600,478925.5989273233,0.015625,499.984375,0.01
47700,480087.5655917781,0.046875,499.953125,0.01
47800,481235.9433600499,0.03125,499.96875,0.01
47900,482490.0669373077,0.03125,499.96875,0.01
48000,483692.56052335695,0.0,500.0,0.01
48100,484863.8732790985,0.03125,499.96875,0.01
48200,485858.04010863544,0.0,500.0,0.01
48300,487252.4559888981,0.03125,499.96875,0.01
48400,488354.5850052372,0.0,500.0,0.01
48500,489384.5779877354,0.046875,499.953125,0.01
48600,490459.23447389115,0.0,500.0,0.01
48700,491693.3226815684,0.015625,499.984375,0.01
48800,492888.38139877556,0.0,500.0,0.01
48900,493904.4866069235,0.046875,499.953125,0.01
49000,495077.0568067672,0.046875,499.953125,0.01
49100,496173.1997236151,0.015625,499.984375,0.01
49200,497340.07563314296,0.015625,499.984375,0.01
49300,498286.72551978205,0.015625,499.984375,0.01
49400,499685.6451151612,0.0,500.0,0.01
49500,500734.44099749613,0.015625,499.984375,0.01
49600,502022.6263524186,0.03125,499.96875,0.01
49700,503184.49071271234,0.0,500.0,0.01
49800,504255.27781150426,0.03125,499.96875,0.01
49900,505422.84082044754,0.0625,499.9375,0.01
50000,506586.04023310594,0.0,500.0,0.01
0,0.0,500.0,0.0,0.05
100,7.627215554543786,500.0,0.0,0.05
200,222.05971886945431,0.078125,499.921875,0.05
300,432.848641812414,0.015625,499.984375,0.05
400,647.6176316655632,0.046875,499.953125,0.05
500,867.5127366114268,0.15625,499.84375,0.05
600,1093.7197145250775,0.140625,499.859375,0.05
700,1323.0268376777833,0.171875,499.828125,0.05
800,1549.3379797777488,0.375,499.625,0.05
900,1776.0383522888346,0.25,499.75,0.05
1000,2004.2516657376937,0.34375,499.65625,0.05
1100,2226.9286035146065,0.3125,499.6875,0.05
1200,2451.7320904430153,0.3125,499.6875,0.05
1300,2673.754062229835,0.34375,499.65625,0.05
1400,2896.128699405426,0.375,499.625,0.05
1500,3117.8427532929504,0.25,499.75,0.05
1600,3344.286245546217,0.40625,499.59375,0.05
1700,3568.8297211838426,0.484375,499.515625,0.05
1800,3789.297113455903,0.46875,499.53125,0.05
1900,4017.9752804209525,0.421875,499.578125,0.05
2000,4238.912132450448,0.328125,499.671875,0.05
2100,4462.889466307918,0.3125,499.6875,0.05
2200,4679.625948297468,0.40625,499.59375,0.05
2300,4899.849108861589,0.4375,499.5625,0.05
2400,5133.415171537063,0.65625,499.34375,0.05
2500,5366.818302795173,0.53125,499.46875,0.05
2600,5597.622653587207,0.625,499.375,0.05
2700,5819.989503466778,0.65625,499.34375,0.05
2800,6042.05891283073,0.765625,499.234375,0.05
2900,6289.030437696625,0.5625,499.4375,0.05
3000,6515.943395312097,0.359375,499.640625,0.05
3100,6726.56314166364,0.4375,499.5625,0.05
3200,6971.388963996511,0.375,499.625,0.05
