N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id
2000,727017096545658,0.848,0.0,0.0692999999999999,0.0692999999999999,1.0126442857142857,0.7025714285714285,0.9306214285714284,1.1571428571428573,1,Jammed,1
2000,731147908347497,0.848,0.1406571428571429,0.1272857142857143,0.2679428571428572,1.3470564285714286,0.6939642857142856,0.7108071428571429,17.585714285714285,0,Unjammed,0
2000,734109262104827,0.848,0.0803785714285714,0.1113857142857142,0.1917642857142856,1.216651428571429,0.7745,0.7962428571428573,12.528571428571428,0,Unjammed,0
2000,742183958399040,0.848,6.428571428571429e-05,0.0527785714285714,0.0528428571428571,1.0082828571428568,0.2414785714285714,0.9470285714285714,1.2428571428571429,1,Jammed,1
2000,744517311885370,0.848,0.0839071428571428,0.0874928571428571,0.1713999999999998,1.2091292857142857,0.8041,0.81765,12.614285714285714,0,Unjammed,0
2000,765322069857382,0.848,2.857142857142857e-05,0.0581928571428571,0.0582214285714285,1.0116271428571428,0.6057214285714285,0.9416642857142858,1.2285714285714286,1,Jammed,1
2000,769312664147949,0.848,0.0,0.0569928571428571,0.0569928571428571,1.0119950000000002,0.7654428571428572,0.9429357142857144,1.1428571428571428,1,Jammed,1
2000,796940938751527,0.848,0.0418857142857142,0.0951571428571428,0.137042857142857,1.127741428571429,0.8263785714285714,0.8520928571428572,10.142857142857142,0,Unjammed,0
2000,799035771825238,0.848,0.0582142857142857,0.1037571428571428,0.1619714285714285,1.1682249999999998,0.8069428571428572,0.82935,10.371428571428572,0,Unjammed,0
2000,810545908121264,0.848,0.0912285714285714,0.11065,0.2018785714285714,1.2387192857142857,0.7668857142857143,0.7838071428571428,14.371428571428572,0,Unjammed,0
2000,812580382463326,0.848,0.1697714285714286,0.1431857142857142,0.3129571428571428,1.4184792857142854,0.6362071428571429,0.6584642857142855,20.485714285714284,0,Unjammed,0
2000,816040927085971,0.848,0.1755714285714285,0.1293785714285714,0.3049499999999999,1.4215392857142854,0.6512571428571428,0.6644214285714286,20.17142857142857,0,Unjammed,0
2000,844835515273933,0.848,0.2480928571428571,0.1533214285714285,0.4014142857142856,1.572845,0.5067,0.5383928571428571,23.65714285714286,0,Unjammed,0
2000,847836640960530,0.848,0.1844785714285714,0.1398214285714285,0.3242999999999999,1.4412821428571423,0.6127857142857145,0.6396357142857142,20.82857142857143,0,Unjammed,0
2000,848380339120121,0.848,0.1811571428571428,0.14395,0.3251071428571428,1.4411585714285715,0.6132285714285713,0.6374071428571428,18.77142857142857,0,Unjammed,0
2000,851083349436041,0.848,0.1129571428571428,0.12465,0.2376071428571428,1.2923192857142851,0.7225,0.7430285714285715,16.47142857142857,0,Unjammed,0
2000,853827592514924,0.848,3.571428571428572e-05,0.0549857142857143,0.0550214285714285,1.008547142857143,0.4938357142857142,0.9448285714285716,1.2714285714285714,1,Jammed,1
2000,873456432950595,0.848,0.1247357142857142,0.1194,0.2441357142857142,1.3128507142857146,0.7120857142857143,0.7308071428571428,18.014285714285716,0,Unjammed,0
2000,874051135843279,0.848,0.0,0.0595714285714285,0.0595714285714285,1.0102014285714285,0.3739571428571429,0.94015,1.5142857142857142,1,Jammed,1
2000,874467446318397,0.848,6.428571428571429e-05,0.0323857142857142,0.0324499999999999,1.008565714285714,0.46895,0.96755,1.0,1,Jammed,1
2000,886192373395909,0.848,0.0,0.0550714285714285,0.0550714285714285,1.0117014285714283,0.7432785714285715,0.9449142857142858,1.0285714285714285,1,Jammed,1
