N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id,p_local_total,p_local_active
2000,1082729744800802,0.83,0.2082928571428571,0.1480714285714285,0.3563642857142856,1.487881428571428,0.5469928571428573,0.5835928571428571,24.97142857142857,0,Unjammed,0,0.1116903424465248,0.650594919526065
2000,1092038932415872,0.83,0.2639714285714286,0.1691571428571428,0.4331285714285714,1.6084285714285718,0.4792928571428572,0.4996428571428572,29.02857142857143,0,Unjammed,0,0.3940449378438004,0.70902760847588
2000,1099062448631258,0.83,0.1856785714285715,0.1364285714285714,0.3221071428571429,1.4363878571428566,0.61305,0.6327285714285714,22.585714285714285,0,Unjammed,0,0.1840152753559206,0.6459746620942705
2000,1104211921913509,0.83,0.2568428571428572,0.1717357142857143,0.4285785714285715,1.6007828571428568,0.4324642857142857,0.4652,27.728571428571428,0,Unjammed,0,0.3141568253463061,0.7104415845520937
2000,1114806189928891,0.83,0.2397214285714286,0.1595142857142857,0.3992357142857143,1.5571371428571426,0.5283857142857142,0.5468500000000001,28.32857142857143,0,Unjammed,0,0.2072768417464963,0.6461822349048265
2000,1122578106359740,0.83,0.2254785714285714,0.1629857142857143,0.3884642857142857,1.5346028571428567,0.5306571428571428,0.5535928571428571,26.31428571428572,0,Unjammed,0,0.1669577943562989,0.6055862812194992
2000,1123570616129223,0.83,0.2627142857142858,0.1517785714285714,0.4144928571428572,1.589650714285714,0.4762642857142858,0.5043642857142857,24.3,0,Unjammed,0,0.2920306274427849,0.6974931764444637
2000,7713914261614,0.84,0.1463214285714285,0.1405428571428571,0.2868642857142855,1.365888571428572,0.65695,0.6854214285714286,19.242857142857144,0,Unjammed,0,0.1236588373814283,0.7000816099664826
2000,7984690204788,0.84,0.1510428571428571,0.1351142857142857,0.2861571428571428,1.371488571428571,0.6683071428571428,0.6869857142857142,17.642857142857142,0,Unjammed,0,0.0989551866190344,0.7052672609168257
2000,12944511869278,0.84,0.1973,0.1432714285714286,0.3405714285714286,1.4648871428571424,0.5936857142857143,0.6134714285714286,23.757142857142856,0,Unjammed,0,0.1239723545654486,0.6733184068260382
2000,31028804052714,0.84,0.2488642857142856,0.1580785714285715,0.4069428571428571,1.575125,0.5128928571428572,0.5348928571428571,27.12857142857143,0,Unjammed,0,0.2878168894250246,0.7295554051018562
2000,37852570490343,0.84,0.1822571428571428,0.1376285714285714,0.3198857142857142,1.431922857142857,0.6338214285714285,0.6535928571428572,19.957142857142856,0,Unjammed,0,0.1811234819562491,0.6179944022400528
2000,44577617154917,0.84,0.2856928571428572,0.1658428571428571,0.4515357142857142,1.6520035714285717,0.4124928571428571,0.4429142857142857,27.77142857142857,0,Unjammed,0,0.2458537788455971,0.6746109663431084
2000,70199386339719,0.84,0.1811142857142857,0.1493357142857143,0.33045,1.44013,0.5996428571428571,0.6282785714285715,21.457142857142856,0,Unjammed,0,0.158144067942911,0.6583283578925542
2000,78804909138230,0.84,0.1198642857142857,0.1269928571428571,0.2468571428571428,1.3047992857142858,0.7026,0.7233928571428571,18.985714285714284,0,Unjammed,0,0.1605255834454279,0.6483431919109731
2000,91820085255413,0.84,0.1470285714285714,0.1284785714285714,0.2755071428571428,1.358374285714286,0.6742785714285715,0.6941214285714287,19.38571428571429,0,Unjammed,0,0.2281086824184599,0.6800083637064591
2000,121838283310165,0.84,0.1721214285714286,0.1386,0.3107214285714286,1.414215714285714,0.6226357142857143,0.6428571428571429,20.77142857142857,0,Unjammed,0,0.1377520464208159,0.7262869813061114
2000,130453083214186,0.84,0.1231571428571428,0.1115857142857143,0.2347428571428571,1.3002042857142853,0.7286785714285714,0.7442785714285715,16.0,0,Unjammed,0,0.1073188060572743,0.673404039289468
2000,150917535351633,0.84,0.1705,0.1359999999999999,0.3064999999999999,1.4100421428571437,0.633,0.6597428571428573,21.77142857142857,0,Unjammed,0,0.1594673345964722,0.6728856566631896
